CONCEPT_ID,PARENT_CONCEPT_ID,LEVEL,TRAIT_DESCRIPTION,"SYS_CONNECT_BY_PATH(C1.TRAIT_DESCRIPTION,':')",IsLeaf
1027,1024,2,5 or More Words,:ADI:5 or More Words,1
1026,1024,1,Less than 5 Words,:Less than 5 Words,1
1027,1024,1,5 or More Words,:5 or More Words,1
1026,1024,5,Less than 5 Words,:Language Ability:Minimally Verbal:Overall Level of Language:ADI:Less than 5 Words,1
1027,1024,3,5 or More Words,:Overall Level of Language:ADI:5 or More Words,1
1028,1025,6,No words,:Personal Traits:Language Ability:Minimally Verbal:Overall Level of Language:ADOS :No words,1
1029,1025,5,Less than 5 words,:Language Ability:Minimally Verbal:Overall Level of Language:ADOS :Less than 5 words,1
1029,1025,6,Less than 5 words,:Personal Traits:Language Ability:Minimally Verbal:Overall Level of Language:ADOS :Less than 5 words,1
1028,1025,4,No words,:Minimally Verbal:Overall Level of Language:ADOS :No words,1
1030,1025,4,5 or More Words,:Minimally Verbal:Overall Level of Language:ADOS :5 or More Words,1
1029,1025,4,Less than 5 words,:Minimally Verbal:Overall Level of Language:ADOS :Less than 5 words,1
1028,1025,1,No words,:No words,1
1030,1025,1,5 or More Words,:5 or More Words,1
1029,1025,1,Less than 5 words,:Less than 5 words,1
1028,1025,3,No words,:Overall Level of Language:ADOS :No words,1
1030,1025,3,5 or More Words,:Overall Level of Language:ADOS :5 or More Words,1
1029,1025,3,Less than 5 words,:Overall Level of Language:ADOS :Less than 5 words,1
1028,1025,2,No words,:ADOS :No words,1
1030,1025,2,5 or More Words,:ADOS :5 or More Words,1
1029,1025,2,Less than 5 words,:ADOS :Less than 5 words,1
1028,1025,5,No words,:Language Ability:Minimally Verbal:Overall Level of Language:ADOS :No words,1
1030,1025,5,5 or More Words,:Language Ability:Minimally Verbal:Overall Level of Language:ADOS :5 or More Words,1
1030,1025,6,5 or More Words,:Personal Traits:Language Ability:Minimally Verbal:Overall Level of Language:ADOS :5 or More Words,1
1032,1031,5,Names Object,:Personal Traits:Language Ability:Minimally Verbal:Expressive Language:Names Object,0
1033,1031,5,Oral Vocabulary,:Personal Traits:Language Ability:Minimally Verbal:Expressive Language:Oral Vocabulary,0
1032,1031,3,Names Object,:Minimally Verbal:Expressive Language:Names Object,0
1033,1031,3,Oral Vocabulary,:Minimally Verbal:Expressive Language:Oral Vocabulary,0
1032,1031,4,Names Object,:Language Ability:Minimally Verbal:Expressive Language:Names Object,0
1033,1031,1,Oral Vocabulary,:Oral Vocabulary,0
1032,1031,2,Names Object,:Expressive Language:Names Object,0
1033,1031,2,Oral Vocabulary,:Expressive Language:Oral Vocabulary,0
1033,1031,4,Oral Vocabulary,:Language Ability:Minimally Verbal:Expressive Language:Oral Vocabulary,0
1032,1031,1,Names Object,:Names Object,0
1034,1032,6,Names no objects,:Personal Traits:Language Ability:Minimally Verbal:Expressive Language:Names Object:Names no objects,1
1035,1032,5,Names less than 5 objects,:Language Ability:Minimally Verbal:Expressive Language:Names Object:Names less than 5 objects,1
1035,1032,6,Names less than 5 objects,:Personal Traits:Language Ability:Minimally Verbal:Expressive Language:Names Object:Names less than 5 objects,1
1034,1032,4,Names no objects,:Minimally Verbal:Expressive Language:Names Object:Names no objects,1
1036,1032,4,Names no Pictures,:Minimally Verbal:Expressive Language:Names Object:Names no Pictures,1
1035,1032,4,Names less than 5 objects,:Minimally Verbal:Expressive Language:Names Object:Names less than 5 objects,1
1034,1032,2,Names no objects,:Names Object:Names no objects,1
1036,1032,2,Names no Pictures,:Names Object:Names no Pictures,1
1035,1032,2,Names less than 5 objects,:Names Object:Names less than 5 objects,1
1034,1032,1,Names no objects,:Names no objects,1
1036,1032,1,Names no Pictures,:Names no Pictures,1
1035,1032,1,Names less than 5 objects,:Names less than 5 objects,1
1034,1032,3,Names no objects,:Expressive Language:Names Object:Names no objects,1
1036,1032,3,Names no Pictures,:Expressive Language:Names Object:Names no Pictures,1
1035,1032,3,Names less than 5 objects,:Expressive Language:Names Object:Names less than 5 objects,1
1034,1032,5,Names no objects,:Language Ability:Minimally Verbal:Expressive Language:Names Object:Names no objects,1
1036,1032,5,Names no Pictures,:Language Ability:Minimally Verbal:Expressive Language:Names Object:Names no Pictures,1
1036,1032,6,Names no Pictures,:Personal Traits:Language Ability:Minimally Verbal:Expressive Language:Names Object:Names no Pictures,1
10331,1033,6,Never answers with words,:Personal Traits:Language Ability:Minimally Verbal:Expressive Language:Oral Vocabulary:Never answers with words,1
10332,1033,6,Produces less than 6 words,:Personal Traits:Language Ability:Minimally Verbal:Expressive Language:Oral Vocabulary:Produces less than 6 words,1
10331,1033,4,Never answers with words,:Minimally Verbal:Expressive Language:Oral Vocabulary:Never answers with words,1
10332,1033,4,Produces less than 6 words,:Minimally Verbal:Expressive Language:Oral Vocabulary:Produces less than 6 words,1
10331,1033,2,Never answers with words,:Oral Vocabulary:Never answers with words,1
10332,1033,5,Produces less than 6 words,:Language Ability:Minimally Verbal:Expressive Language:Oral Vocabulary:Produces less than 6 words,1
10331,1033,1,Never answers with words,:Never answers with words,1
10332,1033,1,Produces less than 6 words,:Produces less than 6 words,1
10331,1033,3,Never answers with words,:Expressive Language:Oral Vocabulary:Never answers with words,1
10332,1033,3,Produces less than 6 words,:Expressive Language:Oral Vocabulary:Produces less than 6 words,1
10331,1033,5,Never answers with words,:Language Ability:Minimally Verbal:Expressive Language:Oral Vocabulary:Never answers with words,1
10332,1033,2,Produces less than 6 words,:Oral Vocabulary:Produces less than 6 words,1
13164,1038,4,Within (1) Standard Deviation of WHO Median to age 19 years,:Medical History:Physical Characteristics:Height:Within (1) Standard Deviation of WHO Median to age 19 years,1
13165,1038,1,Within (2) Standard Deviations of WHO Median to age 19 years,:Within (2) Standard Deviations of WHO Median to age 19 years,1
13168,1038,4,Less Than (1) Standard Deviation of WHO Median to age 19,:Medical History:Physical Characteristics:Height:Less Than (1) Standard Deviation of WHO Median to age 19,1
13166,1038,4,Within (3) Standard Deviations of WHO Median to age 19 years,:Medical History:Physical Characteristics:Height:Within (3) Standard Deviations of WHO Median to age 19 years,1
13165,1038,4,Within (2) Standard Deviations of WHO Median to age 19 years,:Medical History:Physical Characteristics:Height:Within (2) Standard Deviations of WHO Median to age 19 years,1
13164,1038,3,Within (1) Standard Deviation of WHO Median to age 19 years,:Physical Characteristics:Height:Within (1) Standard Deviation of WHO Median to age 19 years,1
13167,1038,3,Greater Than (1) Standard Deviation of WHO Median to age 19,:Physical Characteristics:Height:Greater Than (1) Standard Deviation of WHO Median to age 19,1
13168,1038,3,Less Than (1) Standard Deviation of WHO Median to age 19,:Physical Characteristics:Height:Less Than (1) Standard Deviation of WHO Median to age 19,1
13166,1038,3,Within (3) Standard Deviations of WHO Median to age 19 years,:Physical Characteristics:Height:Within (3) Standard Deviations of WHO Median to age 19 years,1
13165,1038,3,Within (2) Standard Deviations of WHO Median to age 19 years,:Physical Characteristics:Height:Within (2) Standard Deviations of WHO Median to age 19 years,1
13164,1038,2,Within (1) Standard Deviation of WHO Median to age 19 years,:Height:Within (1) Standard Deviation of WHO Median to age 19 years,1
13167,1038,2,Greater Than (1) Standard Deviation of WHO Median to age 19,:Height:Greater Than (1) Standard Deviation of WHO Median to age 19,1
13168,1038,2,Less Than (1) Standard Deviation of WHO Median to age 19,:Height:Less Than (1) Standard Deviation of WHO Median to age 19,1
13166,1038,2,Within (3) Standard Deviations of WHO Median to age 19 years,:Height:Within (3) Standard Deviations of WHO Median to age 19 years,1
13165,1038,2,Within (2) Standard Deviations of WHO Median to age 19 years,:Height:Within (2) Standard Deviations of WHO Median to age 19 years,1
13164,1038,1,Within (1) Standard Deviation of WHO Median to age 19 years,:Within (1) Standard Deviation of WHO Median to age 19 years,1
13167,1038,1,Greater Than (1) Standard Deviation of WHO Median to age 19,:Greater Than (1) Standard Deviation of WHO Median to age 19,1
13168,1038,1,Less Than (1) Standard Deviation of WHO Median to age 19,:Less Than (1) Standard Deviation of WHO Median to age 19,1
13166,1038,1,Within (3) Standard Deviations of WHO Median to age 19 years,:Within (3) Standard Deviations of WHO Median to age 19 years,1
13167,1038,4,Greater Than (1) Standard Deviation of WHO Median to age 19,:Medical History:Physical Characteristics:Height:Greater Than (1) Standard Deviation of WHO Median to age 19,1
1004,1040,4,Verbal IQ,:Personal Traits:Cognitive Ability:IQ:Verbal IQ,0
1005,1040,4,Performance IQ,:Personal Traits:Cognitive Ability:IQ:Performance IQ,0
1004,1040,1,Verbal IQ,:Verbal IQ,0
1005,1040,3,Performance IQ,:Cognitive Ability:IQ:Performance IQ,0
1004,1040,2,Verbal IQ,:IQ:Verbal IQ,0
1005,1040,2,Performance IQ,:IQ:Performance IQ,0
1004,1040,3,Verbal IQ,:Cognitive Ability:IQ:Verbal IQ,0
1005,1040,1,Performance IQ,:Performance IQ,0
1043,1041,4,Reasoning,:Personal Traits:Cognitive Ability:Analytic Capability:Reasoning,0
1042,1041,4,Numeracy,:Personal Traits:Cognitive Ability:Analytic Capability:Numeracy,0
1042,1041,1,Numeracy,:Numeracy,0
1043,1041,3,Reasoning,:Cognitive Ability:Analytic Capability:Reasoning,0
1042,1041,2,Numeracy,:Analytic Capability:Numeracy,0
1043,1041,2,Reasoning,:Analytic Capability:Reasoning,0
1042,1041,3,Numeracy,:Cognitive Ability:Analytic Capability:Numeracy,0
1043,1041,1,Reasoning,:Reasoning,0
10424,1042,5,Clock/time,:Personal Traits:Cognitive Ability:Analytic Capability:Numeracy:Clock/time,0
10424,1042,4,Clock/time,:Cognitive Ability:Analytic Capability:Numeracy:Clock/time,0
10427,1042,5,Count,:Personal Traits:Cognitive Ability:Analytic Capability:Numeracy:Count,0
10421,1042,2,Calendar,:Numeracy:Calendar,0
10427,1042,2,Count,:Numeracy:Count,0
10424,1042,2,Clock/time,:Numeracy:Clock/time,0
10421,1042,1,Calendar,:Calendar,0
10427,1042,1,Count,:Count,0
10424,1042,1,Clock/time,:Clock/time,0
10421,1042,3,Calendar,:Analytic Capability:Numeracy:Calendar,0
10427,1042,3,Count,:Analytic Capability:Numeracy:Count,0
10424,1042,3,Clock/time,:Analytic Capability:Numeracy:Clock/time,0
10421,1042,4,Calendar,:Cognitive Ability:Analytic Capability:Numeracy:Calendar,0
10427,1042,4,Count,:Cognitive Ability:Analytic Capability:Numeracy:Count,0
10421,1042,5,Calendar,:Personal Traits:Cognitive Ability:Analytic Capability:Numeracy:Calendar,0
1044,1043,5,Problem Solving Ability,:Personal Traits:Cognitive Ability:Analytic Capability:Reasoning:Problem Solving Ability,1
1045,1043,5,Understanding Logical Progression,:Personal Traits:Cognitive Ability:Analytic Capability:Reasoning:Understanding Logical Progression,0
1044,1043,2,Problem Solving Ability,:Reasoning:Problem Solving Ability,1
1045,1043,2,Understanding Logical Progression,:Reasoning:Understanding Logical Progression,0
1045,1043,4,Understanding Logical Progression,:Cognitive Ability:Analytic Capability:Reasoning:Understanding Logical Progression,0
1045,1043,1,Understanding Logical Progression,:Understanding Logical Progression,0
1044,1043,3,Problem Solving Ability,:Analytic Capability:Reasoning:Problem Solving Ability,1
1045,1043,3,Understanding Logical Progression,:Analytic Capability:Reasoning:Understanding Logical Progression,0
1044,1043,4,Problem Solving Ability,:Cognitive Ability:Analytic Capability:Reasoning:Problem Solving Ability,1
1044,1043,1,Problem Solving Ability,:Problem Solving Ability,1
10451,1045,6,Follow rules/instructions,:Personal Traits:Cognitive Ability:Analytic Capability:Reasoning:Understanding Logical Progression:Follow rules/instructions,1
10452,1045,5,Not follow rules/instructions,:Cognitive Ability:Analytic Capability:Reasoning:Understanding Logical Progression:Not follow rules/instructions,1
10453,1045,6,Understand events relation,:Personal Traits:Cognitive Ability:Analytic Capability:Reasoning:Understanding Logical Progression:Understand events relation,1
10452,1045,6,Not follow rules/instructions,:Personal Traits:Cognitive Ability:Analytic Capability:Reasoning:Understanding Logical Progression:Not follow rules/instructions,1
10451,1045,3,Follow rules/instructions,:Reasoning:Understanding Logical Progression:Follow rules/instructions,1
10454,1045,3,Don't understand events relation,:Reasoning:Understanding Logical Progression:Don't understand events relation,1
10453,1045,3,Understand events relation,:Reasoning:Understanding Logical Progression:Understand events relation,1
10452,1045,3,Not follow rules/instructions,:Reasoning:Understanding Logical Progression:Not follow rules/instructions,1
10451,1045,2,Follow rules/instructions,:Understanding Logical Progression:Follow rules/instructions,1
10454,1045,2,Don't understand events relation,:Understanding Logical Progression:Don't understand events relation,1
10453,1045,2,Understand events relation,:Understanding Logical Progression:Understand events relation,1
10452,1045,2,Not follow rules/instructions,:Understanding Logical Progression:Not follow rules/instructions,1
10451,1045,1,Follow rules/instructions,:Follow rules/instructions,1
10454,1045,1,Don't understand events relation,:Don't understand events relation,1
10453,1045,1,Understand events relation,:Understand events relation,1
10452,1045,1,Not follow rules/instructions,:Not follow rules/instructions,1
10451,1045,4,Follow rules/instructions,:Analytic Capability:Reasoning:Understanding Logical Progression:Follow rules/instructions,1
10454,1045,4,Don't understand events relation,:Analytic Capability:Reasoning:Understanding Logical Progression:Don't understand events relation,1
10453,1045,4,Understand events relation,:Analytic Capability:Reasoning:Understanding Logical Progression:Understand events relation,1
10452,1045,4,Not follow rules/instructions,:Analytic Capability:Reasoning:Understanding Logical Progression:Not follow rules/instructions,1
10451,1045,5,Follow rules/instructions,:Cognitive Ability:Analytic Capability:Reasoning:Understanding Logical Progression:Follow rules/instructions,1
10454,1045,5,Don't understand events relation,:Cognitive Ability:Analytic Capability:Reasoning:Understanding Logical Progression:Don't understand events relation,1
10453,1045,5,Understand events relation,:Cognitive Ability:Analytic Capability:Reasoning:Understanding Logical Progression:Understand events relation,1
10454,1045,6,Don't understand events relation,:Personal Traits:Cognitive Ability:Analytic Capability:Reasoning:Understanding Logical Progression:Don't understand events relation,1
1047,1046,4,Imagination,:Personal Traits:Cognitive Ability:Abstract Thinking:Imagination,0
1048,1046,4,Visual Thinking,:Personal Traits:Cognitive Ability:Abstract Thinking:Visual Thinking,0
1047,1046,1,Imagination,:Imagination,0
1048,1046,3,Visual Thinking,:Cognitive Ability:Abstract Thinking:Visual Thinking,0
1047,1046,2,Imagination,:Abstract Thinking:Imagination,0
1048,1046,2,Visual Thinking,:Abstract Thinking:Visual Thinking,0
1047,1046,3,Imagination,:Cognitive Ability:Abstract Thinking:Imagination,0
1048,1046,1,Visual Thinking,:Visual Thinking,0
10471,1047,5,Imaginative/creative,:Personal Traits:Cognitive Ability:Abstract Thinking:Imagination:Imaginative/creative,1
10472,1047,5,Not imaginative/creative,:Personal Traits:Cognitive Ability:Abstract Thinking:Imagination:Not imaginative/creative,1
10471,1047,2,Imaginative/creative,:Imagination:Imaginative/creative,1
10472,1047,2,Not imaginative/creative,:Imagination:Not imaginative/creative,1
10472,1047,4,Not imaginative/creative,:Cognitive Ability:Abstract Thinking:Imagination:Not imaginative/creative,1
10472,1047,1,Not imaginative/creative,:Not imaginative/creative,1
10471,1047,3,Imaginative/creative,:Abstract Thinking:Imagination:Imaginative/creative,1
10472,1047,3,Not imaginative/creative,:Abstract Thinking:Imagination:Not imaginative/creative,1
10471,1047,4,Imaginative/creative,:Cognitive Ability:Abstract Thinking:Imagination:Imaginative/creative,1
10471,1047,1,Imaginative/creative,:Imaginative/creative,1
10481,1048,5,Good Visual Thinking,:Personal Traits:Cognitive Ability:Abstract Thinking:Visual Thinking:Good Visual Thinking,1
10482,1048,5,Poor Visual Thinking,:Personal Traits:Cognitive Ability:Abstract Thinking:Visual Thinking:Poor Visual Thinking,1
10481,1048,2,Good Visual Thinking,:Visual Thinking:Good Visual Thinking,1
10482,1048,2,Poor Visual Thinking,:Visual Thinking:Poor Visual Thinking,1
10482,1048,4,Poor Visual Thinking,:Cognitive Ability:Abstract Thinking:Visual Thinking:Poor Visual Thinking,1
10482,1048,1,Poor Visual Thinking,:Poor Visual Thinking,1
10481,1048,3,Good Visual Thinking,:Abstract Thinking:Visual Thinking:Good Visual Thinking,1
10482,1048,3,Poor Visual Thinking,:Abstract Thinking:Visual Thinking:Poor Visual Thinking,1
10481,1048,4,Good Visual Thinking,:Cognitive Ability:Abstract Thinking:Visual Thinking:Good Visual Thinking,1
10481,1048,1,Good Visual Thinking,:Good Visual Thinking,1
10491,1049,4,Remember odd info,:Personal Traits:Cognitive Ability:Isolated Cognitive Skills:Remember odd info,1
10492,1049,3,Don't have unusual memory for odd info,:Cognitive Ability:Isolated Cognitive Skills:Don't have unusual memory for odd info,1
10493,1049,4,Good only in specific tasks,:Personal Traits:Cognitive Ability:Isolated Cognitive Skills:Good only in specific tasks,1
10492,1049,4,Don't have unusual memory for odd info,:Personal Traits:Cognitive Ability:Isolated Cognitive Skills:Don't have unusual memory for odd info,1
10493,1049,1,Good only in specific tasks,:Good only in specific tasks,1
10492,1049,1,Don't have unusual memory for odd info,:Don't have unusual memory for odd info,1
10491,1049,1,Remember odd info,:Remember odd info,1
10494,1049,1,Good in all tasks,:Good in all tasks,1
10491,1049,2,Remember odd info,:Isolated Cognitive Skills:Remember odd info,1
10494,1049,2,Good in all tasks,:Isolated Cognitive Skills:Good in all tasks,1
10493,1049,2,Good only in specific tasks,:Isolated Cognitive Skills:Good only in specific tasks,1
10492,1049,2,Don't have unusual memory for odd info,:Isolated Cognitive Skills:Don't have unusual memory for odd info,1
10491,1049,3,Remember odd info,:Cognitive Ability:Isolated Cognitive Skills:Remember odd info,1
10494,1049,3,Good in all tasks,:Cognitive Ability:Isolated Cognitive Skills:Good in all tasks,1
10493,1049,3,Good only in specific tasks,:Cognitive Ability:Isolated Cognitive Skills:Good only in specific tasks,1
10494,1049,4,Good in all tasks,:Personal Traits:Cognitive Ability:Isolated Cognitive Skills:Good in all tasks,1
1051,1050,4,Color Perception,:Personal Traits:Cognitive Ability:Visual Perception:Color Perception,0
1052,1050,3,Form Perception,:Cognitive Ability:Visual Perception:Form Perception,0
1053,1050,4,Pattern Recognition and Rendering,:Personal Traits:Cognitive Ability:Visual Perception:Pattern Recognition and Rendering,0
1052,1050,4,Form Perception,:Personal Traits:Cognitive Ability:Visual Perception:Form Perception,0
1051,1050,1,Color Perception,:Color Perception,0
1054,1050,1,Space Perception,:Space Perception,0
1053,1050,1,Pattern Recognition and Rendering,:Pattern Recognition and Rendering,0
1052,1050,1,Form Perception,:Form Perception,0
1054,1050,2,Space Perception,:Visual Perception:Space Perception,0
1053,1050,2,Pattern Recognition and Rendering,:Visual Perception:Pattern Recognition and Rendering,0
1052,1050,2,Form Perception,:Visual Perception:Form Perception,0
1051,1050,2,Color Perception,:Visual Perception:Color Perception,0
1051,1050,3,Color Perception,:Cognitive Ability:Visual Perception:Color Perception,0
1054,1050,3,Space Perception,:Cognitive Ability:Visual Perception:Space Perception,0
1053,1050,3,Pattern Recognition and Rendering,:Cognitive Ability:Visual Perception:Pattern Recognition and Rendering,0
1054,1050,4,Space Perception,:Personal Traits:Cognitive Ability:Visual Perception:Space Perception,0
10511,1051,5,Good Color Perception,:Personal Traits:Cognitive Ability:Visual Perception:Color Perception:Good Color Perception,1
10512,1051,5,Poor Color Perception,:Personal Traits:Cognitive Ability:Visual Perception:Color Perception:Poor Color Perception,1
10511,1051,2,Good Color Perception,:Color Perception:Good Color Perception,1
10512,1051,2,Poor Color Perception,:Color Perception:Poor Color Perception,1
10512,1051,4,Poor Color Perception,:Cognitive Ability:Visual Perception:Color Perception:Poor Color Perception,1
10512,1051,1,Poor Color Perception,:Poor Color Perception,1
10511,1051,3,Good Color Perception,:Visual Perception:Color Perception:Good Color Perception,1
10512,1051,3,Poor Color Perception,:Visual Perception:Color Perception:Poor Color Perception,1
10511,1051,4,Good Color Perception,:Cognitive Ability:Visual Perception:Color Perception:Good Color Perception,1
10511,1051,1,Good Color Perception,:Good Color Perception,1
10521,1052,5,Good Form Perception,:Personal Traits:Cognitive Ability:Visual Perception:Form Perception:Good Form Perception,1
10522,1052,5,Poor From Perception,:Personal Traits:Cognitive Ability:Visual Perception:Form Perception:Poor From Perception,1
10521,1052,2,Good Form Perception,:Form Perception:Good Form Perception,1
10522,1052,2,Poor From Perception,:Form Perception:Poor From Perception,1
10522,1052,4,Poor From Perception,:Cognitive Ability:Visual Perception:Form Perception:Poor From Perception,1
10522,1052,1,Poor From Perception,:Poor From Perception,1
10521,1052,3,Good Form Perception,:Visual Perception:Form Perception:Good Form Perception,1
10522,1052,3,Poor From Perception,:Visual Perception:Form Perception:Poor From Perception,1
10521,1052,4,Good Form Perception,:Cognitive Ability:Visual Perception:Form Perception:Good Form Perception,1
10521,1052,1,Good Form Perception,:Good Form Perception,1
10531,1053,5,Good Pattern Recognition and Rendering,:Personal Traits:Cognitive Ability:Visual Perception:Pattern Recognition and Rendering:Good Pattern Recognition and Rendering,1
10532,1053,5,Poor Pattern Recognition and Rendering,:Personal Traits:Cognitive Ability:Visual Perception:Pattern Recognition and Rendering:Poor Pattern Recognition and Rendering,1
10531,1053,2,Good Pattern Recognition and Rendering,:Pattern Recognition and Rendering:Good Pattern Recognition and Rendering,1
10532,1053,2,Poor Pattern Recognition and Rendering,:Pattern Recognition and Rendering:Poor Pattern Recognition and Rendering,1
10532,1053,4,Poor Pattern Recognition and Rendering,:Cognitive Ability:Visual Perception:Pattern Recognition and Rendering:Poor Pattern Recognition and Rendering,1
10532,1053,1,Poor Pattern Recognition and Rendering,:Poor Pattern Recognition and Rendering,1
10531,1053,3,Good Pattern Recognition and Rendering,:Visual Perception:Pattern Recognition and Rendering:Good Pattern Recognition and Rendering,1
10532,1053,3,Poor Pattern Recognition and Rendering,:Visual Perception:Pattern Recognition and Rendering:Poor Pattern Recognition and Rendering,1
10531,1053,4,Good Pattern Recognition and Rendering,:Cognitive Ability:Visual Perception:Pattern Recognition and Rendering:Good Pattern Recognition and Rendering,1
10531,1053,1,Good Pattern Recognition and Rendering,:Good Pattern Recognition and Rendering,1
